Temperature,Humidity,Wind Speed,Weather Detail
29.07,79,1,Rain
29.07,79,1,Rain
31.7,68,3.1,Clouds
31.7,68,3.1,Clouds
31.7,68,3.1,Clouds
32.94,62,4.1,Clouds
32.94,62,4.1,Clouds
32.93,70,2.6,Clouds
32.82,65,2.1,Clouds
32.4,65,2.1,Clouds
32.4,65,2.1,Clouds
28.9,80,1.5,Clouds
28.9,80,1.5,Clouds
28.9,80,1.5,Clouds
28.3,82,1,Clouds
28.3,82,1,Clouds
28.3,82,1,Clouds
27.1,78,1.5,Clouds
27.72,78,1.5,Clouds
27.04,94,2.1,Clouds
26.96,94,3.6,Clouds
26.97,94,2.6,Clouds
26.96,94,2.1,Clouds
27.38,94,2.1,Clouds
28,94,3.6,Clouds
29.25,74,2.6,Clouds
30.66,74,4.1,Clouds
30.03,79,5.1,Clouds
31.28,66,6.2,Clouds
31.51,66,5.7,Clouds
30.9,66,6.2,Clouds
30.89,66,6.2,Clouds
30.43,66,6.2,Clouds
29.3,73,4.6,Clouds
28.39,73,4.6,Clouds
27.89,83,3.1,Clouds
27.86,82,2.6,Clouds
27.83,83,3.6,Clouds
27.6,82,4.6,Clouds
27.87,83,4.1,Clouds
27.85,83,3.6,Clouds
27.75,88,3.6,Clouds
27.1,88,2.6,Clouds
27.11,88,2.6,Clouds
26.85,88,2.6,Clouds
26.87,88,2.6,Clouds
26.23,88,2.1,Clouds
27.68,83,2.6,Clouds
28.93,79,4.1,Clouds
29.55,74,4.6,Clouds
30.89,70,5.7,Clouds
30.9,66,5.7,Clouds
30.89,70,5.7,Clouds
30.81,70,5.7,Clouds
30.83,74,5.7,Clouds
30.81,74,6.2,Clouds
30.51,70,5.1,Clouds
29.9,79,5.1,Clouds
29.26,83,4.6,Clouds
28.7,83,3.1,Clouds
28.07,88,2.1,Clouds
28.08,88,3.6,Clouds
28.04,88,3.6,Clouds
28.03,94,3.6,Clouds
28.04,88,4.1,Clouds
27.81,88,3.6,Clouds
27.83,88,2.6,Clouds
27.81,88,2.6,Clouds
27.08,88,1.5,Clouds
27.07,88,1.5,Clouds
26.45,94,2.6,Clouds
28.64,88,1,Clouds
29.23,79,1.5,Clouds
30.51,74,1.5,Clouds
30.51,70,3.6,Clouds
29.9,74,3.6,Clouds
30.51,70,5.1,Clouds
31.08,70,4.6,Clouds
31.73,62,5.7,Clouds
31.7,59,5.7,Clouds
30.62,70,5.1,Clouds
30,79,4.6,Clouds
30,79,2.1,Clouds
29.59,74,1.5,Clouds
28.97,83,1.5,Clouds
28.96,79,0.5,Clouds
28.7,79,1,Clouds
28.07,94,1,Clouds
28.08,88,0.5,Clouds
27.81,83,0.5,Clouds
27.83,83,0.5,Clouds
27.19,94,1,Clouds
26.92,94,0.5,Clouds
26.27,94,0.5,Clouds
26.3,94,1,Clouds
28.49,88,1.5,Clouds
29.77,79,2.1,Clouds
29.74,79,2.1,Clouds
31.57,74,3.1,Clouds
32.83,62,2.6,Clouds
32.81,66,4.1,Clouds
33.51,59,4.1,Clouds
32.9,66,5.1,Clouds
33.51,59,3.6,Clouds
31.55,66,5.1,Clouds
30.93,70,4.6,Clouds
29.68,83,3.1,Clouds
29.19,83,1,Clouds
29.83,79,2.6,Clouds
29.19,83,2.1,Clouds
28.92,89,2.1,Clouds
28.93,83,0.5,Clouds
28.3,88,3.1,Clouds
27.92,83,1.5,Clouds
27.93,88,1.5,Clouds
27.3,88,2.6,Clouds
26.9,83,1,Clouds
26.9,83,1,Clouds
26.96,88,1.5,Clouds
28.68,83,1,Clouds
29.93,74,1.5,Clouds
30.55,74,2.1,Clouds
32.15,70,3.1,Clouds
32.8,66,3.6,Clouds
32.77,66,4.1,Clouds
32.96,66,4.6,Clouds
33.63,59,5.7,Clouds
33.59,63,7.2,Clouds
32.55,66,4.6,Clouds
31.93,66,4.1,Clouds
31.3,74,5.1,Clouds
29.92,84,2.6,Clouds
29.93,84,2.6,Clouds
29.92,84,2.1,Clouds
29.86,84,3.1,Clouds
29.87,84,4.1,Clouds
29.23,89,3.6,Clouds
29,89,3.1,Clouds
29,83,2.6,Clouds
28.38,88,2.1,Clouds
27.77,88,2.1,Clouds
27.8,83,1,Clouds
27.77,78,1,Clouds
29.09,78,2.1,Clouds
29.63,79,1.5,Clouds
30.96,74,1,Clouds
31.21,79,2.1,Clouds
31.73,79,4.6,Clouds
32.45,74,3.6,Clouds
32.91,79,3.6,Clouds
34.13,59,6.2,Clouds
33.53,66,5.7,Clouds
32.19,74,4.6,Clouds
31.5,84,3.6,Clouds
31.57,74,3.6,Clouds
30.59,74,3.6,Clouds
29.97,84,2.6,Clouds
28.72,78,10.8,Thunderstorm
25.92,83,5.1,Thunderstorm
25.92,83,5.1,Rain
25.93,88,2.6,Rain
26.55,83,2.1,Rain
26.81,83,0.5,Clouds
26.83,88,2.6,Clouds
26.19,83,2.1,Clouds
26.36,83,5.7,Thunderstorm
26.36,83,5.7,Rain
25.77,88,0.5,Rain
25.74,88,1.5,Rain
28.53,78,0.5,Clouds
29.13,79,1.5,Clouds
29.77,74,2.1,Clouds
31.49,74,2.6,Clouds
31.43,74,3.1,Clouds
31.49,79,4.1,Clouds
32.45,74,4.6,Clouds
31.73,79,5.7,Clouds
33.7,63,3.6,Clouds
33.25,59,3.1,Clouds
32,70,3.1,Clouds
31.38,74,2.1,Clouds
29.47,79,1,Clouds
28.87,89,3.6,Clouds
28.85,89,2.1,Clouds
28.96,89,2.6,Clouds
28.97,89,2.1,Clouds
28.34,94,2.1,Clouds
28.04,94,2.6,Clouds
28.03,94,3.1,Clouds
28.04,94,1.5,Clouds
27.77,88,2.1,Clouds
27.13,94,1.5,Clouds
27.15,94,1.5,Clouds
28.49,88,2.1,Clouds
29.1,83,3.1,Clouds
29.74,79,3.6,Clouds
31.11,74,4.1,Clouds
31.1,74,4.1,Clouds
31.11,79,4.6,Clouds
32.04,74,4.6,Clouds
32.03,70,6.2,Clouds
32.66,66,6.2,Clouds
32.13,66,3.6,Clouds
30.9,70,3.1,Clouds
30.26,74,2.1,Clouds
29.04,79,2.1,Clouds
29.03,79,1,Clouds
29.04,79,1,Clouds
28.74,83,1,Clouds
28.1,88,1,Clouds
28.74,83,2.6,Clouds
28.7,83,2.6,Clouds
28.07,83,2.1,Clouds
28.08,83,2.1,Clouds
27.15,88,2.6,Clouds
27.13,88,1.5,Clouds
27.15,88,0.5,Clouds
28.53,83,1,Clouds
29.13,79,3.1,Clouds
29.77,79,3.6,Clouds
30.92,74,4.1,Clouds
30.93,74,5.1,Clouds
30.92,79,5.7,Clouds
31.04,79,5.7,Clouds
31.03,79,5.7,Clouds
31.66,66,5.7,Clouds
32.47,59,3.6,Clouds
31.88,59,3.6,Clouds
30.6,74,3.1,Clouds
29.59,74,2.1,Clouds
28.97,83,1.5,Clouds
28.34,88,1.5,Clouds
28.89,83,2.1,Clouds
28.9,83,2.6,Clouds
28.89,83,3.1,Clouds
28.7,83,2.6,Clouds
28.07,88,2.6,Clouds
28.08,88,2.1,Clouds
27.81,88,2.6,Clouds
27.83,83,1,Clouds
27.19,88,1.5,Clouds
28.64,83,1.5,Clouds
29.9,79,2.1,Clouds
30.51,74,1.5,Clouds
31.47,70,2.6,Clouds
30.87,74,2.6,Clouds
31.47,70,2.6,Clouds
31.96,74,4.1,Clouds
32.63,62,1.5,Clouds
32.59,62,3.1,Clouds
31.26,70,2.1,Clouds
31.9,66,2.6,Clouds
31.26,70,2.6,Thunderstorm
29.96,74,1,Clouds
29.97,74,2.1,Clouds
29.96,79,1,Clouds
29,79,2.1,Clouds
29,79,2.1,Clouds
29,79,2.1,Clouds
28.62,79,1.5,Clouds
28,83,1.5,Clouds
27.38,88,0.5,Clouds
26.97,88,0.5,Clouds
26.9,83,1,Clouds
26.96,88,0.5,Clouds
28.6,83,1.5,Clouds
29.87,74,2.1,Clouds
30.47,74,2.6,Clouds
31,74,3.6,Clouds
31,74,4.1,Clouds
31.62,74,4.6,Clouds
31.74,70,5.1,Clouds
32.43,70,5.1,Clouds
32.36,66,5.7,Clouds
32.25,62,2.6,Clouds
31,70,2.6,Clouds
30.38,74,2.1,Clouds
28.96,83,3.6,Thunderstorm
28.97,83,1.5,Thunderstorm
28.34,83,4.6,Thunderstorm
27.55,83,1.5,Thunderstorm
26.93,88,2.6,Thunderstorm
26.92,83,0.5,Thunderstorm
26.92,88,1.5,Rain
26.93,88,2.1,Rain
26.92,83,1.5,Rain
27,83,2.1,Clouds
27,83,2.1,Clouds
27,88,2.1,Clouds
27.83,88,2.1,Clouds
28.4,88,1.5,Clouds
29.08,83,2.6,Clouds
30.3,79,3.1,Clouds
30.93,79,3.1,Clouds
30.92,74,5.1,Clouds
31,74,6.2,Clouds
31.67,74,5.7,Clouds
30.38,84,4.6,Clouds
28.89,83,2.6,Rain
28.9,89,1.5,Rain
28.89,83,1.5,Clouds
27.82,89,1.5,Rain
25.9,94,5.1,Thunderstorm
25.9,94,5.1,Rain
25.89,94,4.6,Rain
27,88,2.6,Rain
27,88,4.1,Rain
26.38,94,3.6,Thunderstorm
26.38,94,3.6,Rain
25.38,94,1,Rain
26,94,1.5,Rain
26,94,1.5,Rain
25.96,100,0.5,Clouds
25.97,100,1.5,Clouds
25.96,94,0.5,Clouds
26.83,88,2.1,Clouds
28.07,83,2.1,Clouds
28.7,79,2.1,Clouds
30.77,66,1.5,Clouds
30.8,70,3.1,Clouds
31.4,66,2.6,Clouds
32.92,59,2.1,Clouds
33.6,56,1.5,Clouds
31.06,79,4.6,Clouds
30.19,79,2.6,Clouds
30.83,74,2.1,Clouds
30.19,74,2.1,Clouds
28.92,83,1.5,Thunderstorm
28.93,83,0.5,Clouds
28.92,83,1,Clouds
28.74,83,1,Clouds
28.77,83,2.1,Clouds
28.11,88,2.1,Clouds
27.92,88,2.1,Clouds
27.93,88,1.5,Clouds
27.92,88,1,Clouds
27.11,94,2.1,Clouds
27.1,94,2.1,Clouds
27.11,88,1.5,Clouds
27.41,94,3.1,Clouds
28.03,83,3.1,Clouds
29.28,79,2.6,Clouds
30.11,79,3.1,Clouds
30.77,74,4.6,Clouds
30.74,74,4.1,Clouds
30.96,79,5.1,Clouds
30.97,79,5.1,Thunderstorm
30.96,74,2.6,Thunderstorm
28.94,79,5.1,Thunderstorm
27.07,88,3.1,Thunderstorm
26.45,100,3.6,Thunderstorm
26.04,94,3.6,Rain
26.03,94,4.6,Rain
26.04,88,3.6,Rain
26.04,94,2.1,Clouds
26.03,94,3.1,Clouds
26.04,94,2.6,Clouds
26.89,88,3.6,Clouds
26.9,88,2.6,Clouds
26.89,88,2.1,Clouds
25.89,94,2.1,Clouds
25.9,94,1.5,Clouds
25.89,88,1,Clouds
27.49,88,1.5,Clouds
28.1,78,1,Clouds
28.74,74,2.1,Clouds
30.66,70,2.1,Clouds
30.7,70,3.6,Clouds
30.68,74,3.1,Clouds
31.03,64,2.6,Clouds
31.1,64,2.6,Clouds
29.62,64,2.6,Clouds
29.9,72,2.1,Clouds
29.97,79,2.1,Clouds
28.72,83,3.6,Thunderstorm
27.85,88,2.1,Clouds
27.87,88,2.6,Clouds
27.85,83,1.5,Clouds
27.15,88,1,Clouds
27.8,83,1,Clouds
27.77,83,2.1,Clouds
27,94,1.5,Clouds
27,88,1.5,Clouds
27,88,1.5,Clouds
26.4,85,0.5,Thunderstorm
26.13,94,2.4,Thunderstorm
26.15,94,0.5,Thunderstorm
27.83,94,1,Thunderstorm
29.07,83,1.5,Clouds
29.7,79,3.6,Clouds
29.92,79,4.6,Clouds
29.94,74,4.1,Clouds
30.57,74,3.6,Clouds
31.07,74,3.6,Clouds
31.05,68,4.6,Clouds
31.07,79,4.1,Clouds
29.9,75,5.1,Clouds
30.63,79,4.6,Clouds
30.63,79,4.6,Clouds
28.6,79,1.5,Clouds
28.6,79,1.5,Clouds
28.6,79,1.5,Clouds
27.8,87,3.1,Rain
27.8,87,3.1,Rain
27.8,87,3.1,Rain
27,86,1,Rain
27,86,1,Rain
27,86,1,Rain
26.3,92,1.6,Clouds
26.3,92,1.6,Clouds
26.3,92,1.6,Clouds
28.17,88,2.1,Clouds
28.17,88,2.1,Clouds
28.17,88,2.1,Clouds
30.8,71,4.1,Clouds
30.8,71,4.1,Clouds
30.8,71,4.1,Clouds
30.9,71,6.2,Clouds
31.73,71,6.2,Clouds
30.9,71,6.2,Clouds
30.2,78,5.7,Clouds
30.73,84,4.6,Clouds
30.7,74,1.5,Clouds
29.66,79,1.5,Clouds
29.03,89,1,Clouds
29.04,89,1.5,Clouds
28.77,89,1,Clouds
28.13,94,1.5,Clouds
28.15,94,2.6,Clouds
28.08,94,2.6,Clouds
28.07,94,2.6,Clouds
28.08,94,2.6,Clouds
27.77,94,2.1,Clouds
27.13,94,2.1,Clouds
27.77,94,2.1,Clouds
28.41,94,2.6,Clouds
29.03,89,2.6,Clouds
29.66,84,3.6,Clouds
31,79,4.1,Clouds
31,74,3.6,Clouds
31,74,4.6,Clouds
31.81,74,5.7,Clouds
31.83,74,5.7,Clouds
31.81,79,6.2,Clouds
31.43,79,5.7,Clouds
30.83,84,4.6,Clouds
30.81,84,3.1,Clouds
29.89,79,1.5,Clouds
29.9,84,1,Clouds
29.89,84,0.5,Clouds
28.92,83,1,Clouds
28.93,94,2.6,Clouds
28.92,94,3.1,Clouds
28.77,89,3.6,Clouds
28.13,100,3.1,Clouds
28.15,94,3.1,Clouds
27.96,94,2.6,Clouds
27.97,94,2.1,Clouds
27.96,88,1.5,Clouds
29.26,83,2.6,Clouds
29.9,79,3.1,Clouds
29.89,79,3.6,Clouds
31.74,74,4.1,Clouds
31.77,74,4.6,Clouds
31.74,74,4.6,Clouds
31.4,74,5.7,Clouds
30.8,84,5.1,Clouds
31.4,79,6.2,Clouds
30.77,84,7.2,Clouds
30.8,84,5.1,Clouds
30.15,89,4.1,Clouds
29.08,94,2.6,Clouds
29.07,89,2.1,Clouds
29.08,89,1.5,Clouds
28.15,94,2.1,Clouds
28.13,94,2.6,Clouds
28.15,94,1.5,Clouds
28.74,89,3.1,Clouds
28.77,89,2.6,Clouds
28.11,94,2.1,Clouds
27.62,94,1,Clouds
27.67,94,1,Clouds
27,94,2.1,Clouds
28.3,88,1,Clouds
28.93,83,2.1,Clouds
29.55,79,1.5,Clouds
31.77,70,2.6,Clouds
31.8,70,4.1,Clouds
31.15,74,4.6,Clouds
32.08,74,5.1,Clouds
32.73,66,5.1,Clouds
32.7,66,5.1,Clouds
31.7,74,5.1,Clouds
31.73,66,4.1,Clouds
31.08,70,2.6,Clouds
29.81,79,1.5,Clouds
29.83,79,1,Clouds
29.19,83,2.1,Clouds
28.92,89,2.1,Clouds
28.93,89,1.5,Clouds
28.92,89,2.1,Clouds
28.08,94,1.5,Clouds
28.07,88,3.1,Clouds
28.08,88,1.5,Clouds
27.04,94,1.5,Clouds
27.03,94,1,Clouds
27.04,88,1,Clouds
28.49,88,1.5,Clouds
29.77,79,2.1,Clouds
29.74,79,2.6,Clouds
31.92,66,2.6,Clouds
31.93,62,4.1,Clouds
31.92,66,4.6,Clouds
31.85,70,4.1,Clouds
32.53,70,4.1,Clouds
32.47,66,4.6,Clouds
28.72,83,5.7,Rain
29.97,74,2.6,Rain
29.96,79,2.1,Rain
28.85,83,2.1,Clouds
28.87,83,1.5,Clouds
28.85,83,1,Clouds
28.74,79,1.5,Clouds
28.1,83,2.1,Clouds
28.11,83,2.6,Clouds
27.55,83,1.5,Clouds
26.93,88,1,Clouds
26.92,88,0.5,Clouds
26.77,88,1,Clouds
26.13,94,0.5,Clouds
26.15,94,0.5,Clouds
27.6,88,0.5,Clouds
28.2,83,2.1,Clouds
29.47,79,2.6,Clouds
30.85,74,3.6,Clouds
30.87,74,3.6,Clouds
31.47,70,4.1,Clouds
31.81,70,4.6,Clouds
31.83,70,5.1,Clouds
32.43,59,4.6,Clouds
31.25,70,5.1,Clouds
30,79,4.6,Clouds
30,79,2.6,Clouds
29.77,79,1.5,Clouds
29.13,83,1.5,Clouds
29.15,83,1,Clouds
28.92,83,1,Clouds
28.93,83,1,Clouds
28.3,88,1.5,Clouds
27.81,83,1.5,Clouds
27.83,83,3.1,Clouds
27.19,88,2.1,Clouds
27.08,88,3.1,Clouds
27.07,94,2.6,Clouds
27.08,94,1.5,Clouds
28.38,88,1.5,Clouds
29,83,2.1,Clouds
29.62,79,2.6,Clouds
30.26,79,3.6,Clouds
30.9,79,3.6,Clouds
31.51,70,3.1,Clouds
33.81,59,2.6,Clouds
33.83,56,3.6,Clouds
33.19,55,3.1,Clouds
32.51,59,1.5,Clouds
31.9,70,3.6,Clouds
31.89,66,2.1,Clouds
30.66,70,1.5,Clouds
30.03,79,1.5,Clouds
30.04,84,1,Clouds
29.04,89,1.5,Clouds
29.03,89,1,Clouds
29.04,89,0.5,Clouds
28.74,83,0.5,Clouds
28.1,88,0.5,Clouds
28.11,88,0.5,Clouds
27.7,88,1.5,Clouds
27.07,94,1.5,Clouds
27.7,83,2.6,Clouds
28.49,83,2.1,Clouds
29.77,84,2.1,Clouds
29.77,84,2.1,Clouds
29.74,84,2.1,Clouds
31.53,79,2.1,Clouds
32.13,70,2.1,Clouds
32.77,62,3.6,Clouds
33.7,59,3.6,Clouds
33.73,63,4.6,Clouds
33.7,63,5.1,Clouds
31.91,62,3.1,Clouds
30.03,79,3.6,Clouds
30.04,74,2.1,Clouds
29.81,74,1.5,Clouds
29.83,74,1.5,Clouds
29.81,74,1.5,Clouds
27,88,7.2,Rain
27,88,1.5,Clouds
27,83,2.6,Clouds
27.15,83,1,Clouds
27.8,78,1,Clouds
27.77,78,1.5,Clouds
27.62,78,1.5,Clouds
27.67,83,1,Clouds
27.62,83,1,Clouds
28.38,88,2.1,Clouds
29,89,2.6,Clouds
29.62,79,2.1,Clouds
31.15,74,3.1,Clouds
31.8,74,4.1,Clouds
31.15,79,5.1,Clouds
32.66,70,2.6,Clouds
32.03,66,2.6,Clouds
32.04,66,2.6,Clouds
32.21,62,3.6,Clouds
30.97,70,2.6,Clouds
30.34,74,1,Clouds
29.66,79,2.6,Clouds
29.03,83,1,Clouds
29.04,89,1,Clouds
28.89,83,2.1,Clouds
28.9,89,2.1,Clouds
28.89,89,1,Clouds
28.66,89,0.5,Clouds
28.03,94,0.5,Clouds
28.03,94,0.5,Clouds
27.4,79,5.1,Clouds
27.8,83,0.5,Clouds
27.15,83,0.5,Clouds
28.6,83,2.6,Clouds
29.87,79,3.1,Clouds
29.85,79,3.1,Clouds
31.11,74,3.6,Clouds
31.77,74,3.6,Clouds
31.11,79,4.1,Clouds
30.66,79,3.6,Thunderstorm
30.7,79,5.7,Thunderstorm
28.17,88,2.6,Clouds
27.3,88,2.6,Rain
27.93,78,2.1,Rain
27.92,78,2.1,Rain
28.62,79,1,Clouds
28,88,0.5,Clouds
28,83,1,Clouds
28.04,83,1,Clouds
28.03,83,2.1,Clouds
28.04,83,2.1,Clouds
27.85,88,3.1,Clouds
27.87,88,2.1,Clouds
27.85,88,3.1,Clouds
27.04,94,2.1,Clouds
27.03,94,2.6,Clouds
27.04,88,2.1,Clouds
28.41,88,2.1,Clouds
29.03,83,3.1,Clouds
29.66,79,2.6,Clouds
31.04,70,3.1,Clouds
31.03,70,3.1,Clouds
31.66,66,3.6,Clouds
32.11,70,3.6,Clouds
32.1,66,4.1,Clouds
30.87,79,3.1,Thunderstorm
30.08,79,3.1,Clouds
30.07,79,3.1,Clouds
30.08,84,2.1,Clouds
29.74,84,1.5,Clouds
29.1,89,1.5,Clouds
29.74,84,1.5,Clouds
27.72,89,2.1,Thunderstorm
27.72,89,2.1,Rain
25.87,94,1.5,Thunderstorm
25.87,94,1.5,Rain
25.85,94,2.6,Thunderstorm
25.85,94,2.6,Rain
26.04,94,2.6,Thunderstorm
26.04,94,2.6,Rain
26.03,94,2.1,Rain
26.04,94,1.5,Rain
26.38,94,1.5,Clouds
27,88,1.5,Clouds
27,94,1.5,Clouds
28.34,94,1,Clouds
28.97,89,4.1,Clouds
29.26,84,2.1,Clouds
30.6,84,2.6,Clouds
31.2,79,2.6,Clouds
31.23,79,4.1,Clouds
31.66,74,5.1,Clouds
31.03,79,5.1,Clouds
31.04,74,4.6,Clouds
30.23,79,2.6,Clouds
30.87,70,1,Clouds
30.23,79,2.1,Clouds
29,79,1,Clouds
29,83,1,Clouds
29,89,0.5,Clouds
28.92,83,0.5,Clouds
28.93,83,2.6,Clouds
28.92,83,2.1,Clouds
27.77,88,2.1,Clouds
27.13,94,1,Clouds
27.15,94,0.5,Clouds
26.81,88,0.5,Clouds
26.83,88,1,Clouds
26.81,83,1,Clouds
27.64,83,1.5,Clouds
28.9,79,2.1,Clouds
29.51,79,1.5,Clouds
30.7,74,2.6,Clouds
30.73,79,2.6,Clouds
30.7,79,4.1,Clouds
31.66,74,4.6,Clouds
31.7,74,4.6,Clouds
32.28,66,3.1,Clouds
34,59,2.6,Clouds
32,70,3.1,Clouds
30,74,3.1,Clouds
29.81,74,1.5,Clouds
29.17,79,1,Clouds
29.19,79,2.1,Clouds
29.51,74,0.5,Clouds
28.9,79,1,Clouds
28.89,79,1.5,Clouds
27.89,78,2.1,Clouds
27.9,78,1,Clouds
27.89,83,2.1,Clouds
27.7,83,2.6,Clouds
27.07,88,1,Clouds
27.08,88,0.5,Clouds
28.49,88,2.1,Clouds
29.1,89,2.1,Clouds
29.74,79,1,Clouds
30.08,84,3.1,Thunderstorm
30.07,70,2.6,Clouds
30.7,79,4.1,Clouds
30.11,74,4.1,Clouds
28.33,79,3.6,Thunderstorm
27.62,83,2.6,Thunderstorm
27.38,88,3.1,Thunderstorm
27.38,88,3.1,Rain
28,83,3.1,Rain
28,78,2.1,Rain
27.89,78,1,Clouds
27.9,83,1,Clouds
27.89,83,0.5,Clouds
27.77,83,2.1,Clouds
27.13,88,1,Clouds
27.77,83,1.5,Clouds
27.08,88,1,Clouds
27.07,88,1.5,Haze
27.08,88,1,Haze
26.64,94,1,Haze
26,94,1,Clouds
26,94,0.5,Haze
27,88,0.5,Haze
